,marka,fiyat,kamera çözünürlük,Dahili hafıza,Ram,ekran boyutu,pil gücü,mobil bağlantı hızı,model,ön kamera sayısı,on kamera cozunurluk araligi,arka kamera sayisi,ekran boyutu aralığı,işletim sistemi,çift hat,garanti süresi,şarj girişi,ana kamera çözünürlük,nfc,kulaklık girişi,batarya,renk
358,Reeder,9990,15,128,8,7,20000  üzeri,5,,1,15,2,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,4000,Mor
359,Apple,68998,48,256,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Altın
360,vivo,3458,5,32,3,4,1500  altı,4.5,,1,5,2,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Mavi
361,Samsung,18250,20,128,6,6,5000,4.5,Galaxy M31s,1,20,4,6,Android,Var,2,USB Type-C,20,Var,3.5 mm,5000,Siyah
362,Xiaomi,4474,10,64,2,6,4000 - 5000,4.5,Redmi 9C,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Siyah
363,Oppo,8139,5,Yok,6,4,1500  altı,4.5,,1,15,2,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Mavi
364,Tecno,6800,5,128,8,4,1500  altı,4,,1,10,3,6,Android,Yok,2,USB Type-C,10,Var,USB Type-C,4500,Çok Renkli
365,Xiaomi,15799,20,256,8,6,4000 - 5000,5,Redmi Note 11 Pro,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,4500,Mavi
366,Casper,3880,8,64,3,6,5000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Siyah
367,Oppo,6279,10,128,4,6,4000 - 5000,4.5,,1,15,3,6,Android,Yok,2,USB Type-C,15,Yok,3.5 mm,5000,Siyah
368,Apple,37999,10,128,4,5,1800 - 2400,5,iPhone 12 Mini,1,10,2,5,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Mor
369,vivo,,5,128,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Mavi
370,INFINIX,5349,20,128,4,6,5000,4.5,,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Beyaz
371,Xiaomi,,50,128,8,6,5000,5,,1,15,3,6,Android,Yok,2,USB Type-C,15,Var,3.5 mm,4500,Siyah
372,INFINIX,9649,64,256,8,6,5000,4.5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Mavi
373,realme,7090,20,128,6,6,5000,4,,1,60,1,6,Android,Var,2,USB Type-C,60,Var,3.5 mm,4500,Altın
374,POCO,,5,128,6,4,1500  altı,4,,1,15,3,6,Android,Var,2,USB Type-C,15,Yok,3.5 mm,5000,Siyah
375,Samsung,37750,12,256,8,6,4000 - 5000,5,Galaxy S23 Plus,1,40,3,6,Android,Var,2,USB Type-C,40,Var,USB Type-C,4500,Yeşil
376,Samsung,26400,5,128,8,4,1500  altı,5,,1,5,2,6,Android,Var,2,USB Type-C,5,Var,USB Type-C,3500,Gri
377,Samsung,16899,20,128,8,4,1500  altı,4.5,,1,20,1,7,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Mavi
378,Motorola,19000,5,4,4,4,1500  altı,4,,1,5,4,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,5000,Siyah
379,realme,34000,20,256,12,7,4000 - 5000,5,Lg X,1,60,4,6,Android,Var,2,USB Type-C,60,Var,USB Type-C,5000,Siyah
380,Xiaomi,20999,108,256,8,6,5000,5,Xiaomi 12T,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Mavi
381,Dijitsu,3355,15,64,4,6,5000,5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Mavi
382,Samsung,6450,15,32,2,6,3000 - 4000,4.5,Galaxy A11,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,3500,Beyaz
383,Apple,61499,48,256,6,6,3200,5,iPhone 14 Pro,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Gümüş
384,Tecno,5248,10,128,6,6,5000,4.5,,1,15,4,6,Android,Yok,2,USB Type-C,15,Yok,3.5 mm,5000,Lacivert
385,Apple,38490,5,128,4,5,3000 - 4000,5,iPhone 13 Mini,1,15,2,5,iOS,Var,2,Lightning,15,Var,Lightning,2000,Pembe
386,Tecno,5399,5,128,4,4,1500  altı,4.5,,1,20,3,6,Android,Var,2,USB Type-C,20,Yok,3.5 mm,4500,Beyaz
387,Apple,52298,10,256,6,6,4000 - 5000,5,iPhone 14 Plus,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Mavi
388,General Mobile,3800,10,32,3,6,5000,4.5,Gm22,1,5,3,6,Android,Yok,2,USB Type-C,5,Yok,3.5 mm,4500,Yeşil
389,Apple,21330,10,64,2,4,1500 - 1800,4.5,iPhone SE,1,5,1,4,iOS,Yok,2,Lightning,5,Var,Lightning,1000,Siyah
390,Tecno,4959,5,128,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Siyah
391,realme,15989,5,256,12,4,1500  altı,5,,1,20,2,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Siyah
392,Apple,27899,12,64,4,6,3110,4.5,iPhone 11,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,3000,Mor
393,Xiaomi,9399,20,128,6,6,3000 - 7900,4.5,,1,10,4,6,Android,Var,2,USB Type-C,10,Var,3.5 mm,5000,Gri
394,Apple,68999,5,512,6,6,3000 - 4000,5,iPhone 13 Pro Max,1,10,3,6,iOS,Yok,2,Lightning,10,Var,Lightning,3500,Mavi
395,Samsung,6999,5,128,4,4,1500  altı,4,Galaxy A13,1,5,4,6,Android,Var,2,USB Type-C,5,Var,Lightning,4500,Siyah
396,Samsung,15254,5,128,8,4,1500  altı,5,,1,20,4,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,4500,Mor
397,INFINIX,5605,20,128,8,6,5000,4.5,,1,5,4,6,Android,Var,2,USB Type-C,5,Var,USB Type-C,5000,Beyaz
398,Xiaomi,5999,20,64,4,6,4000 - 5000,4.5,Redmi Note 8,1,10,4,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,3500,Mavi
399,Trident,8099,48,128,6,6,4500,4.5,,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4000,Mor
400,Apple,36995,10,256,4,6,2815,4.5,iPhone 12,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Yeşil
401,POCO,29999,20,256,8,6,5000,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Beyaz
402,General Mobile,3712,10,32,3,6,5000,4.5,Gm22,1,5,3,6,Android,Yok,2,USB Type-C,5,Yok,3.5 mm,4500,Siyah
403,Samsung,8829,5,128,6,4,1500  altı,4.5,Galaxy M33,1,5,4,5,Android,Yok,2,USB Type-C,5,Var,USB Type-C,4500,Mavi
404,Samsung,56900,10,1 TB,8,6,4000 - 5000,5,Galaxy S23 Ultra,1,10,5,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,3500,Yeşil
405,oukitel,5099,5,128,8,4,900-3000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,4000,Siyah
406,INFINIX,3619,20,64,4,6,5000,4.5,,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,5000,Altın
407,Xiaomi,17999,5,256,256 MB RAM,4,1500  altı,5,Xiaomi 13 Lite,1,40,1,6,Android,Var,2,USB Type-C,40,Var,USB Type-C,4500,Mavi
408,Oppo,12999,20,128,4,6,4000 - 5000,4.5,,1,15,3,6,Android,Yok,2,USB Type-C,15,Var,3.5 mm,4500,Mavi
409,Xiaomi,5249,20,64,4,6,5000,4.5,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Mavi
410,Xiaomi,27999,5,256,12,4,1500  altı,4,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Siyah
411,Samsung,24999,10,128,8,6,3000 - 4000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,3500,Gri
412,Samsung,6400,20,64,4,6,4000 - 5000,4.5,Galaxy A14,1,10,3,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,4500,Yeşil
413,realme,15000,5,128,6,4,1500  altı,5,,1,20,4,6,Android,Var,2,USB Type-C,20,Yok,3.5 mm,5000,Gri
414,realme,3429,5,32,2,4,4000 - 5000,4.5,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Mavi
415,Tecno,18349,20,256,8,6,5000,5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Gri
416,INFINIX,7949,64,128,8,6,5000,4.5,,1,60,3,6,Android,Var,2,USB Type-C,60,Var,USB Type-C,5000,Siyah
417,Tecno,3985,10,64,3,6,5000,4.5,,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Mavi
418,Apple,48199,12,256,6,6,3279,5,iPhone 14,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Mavi
419,Samsung,8118,5,128,4,4,1500  altı,4.5,,1,5,3,5,Android,Yok,2,USB Type-C,5,Var,Lightning,5000,Yeşil
420,Samsung,14949,20,256,8,6,4000 - 5000,4.5,Galaxy S20,1,20,1,7,Android,Var,2,USB Type-C,20,Var,USB Type-C,4500,Mavi
421,,18999,20,128,8,6,3000 - 4000,4.5,,1,40,4,6,Android,Yok,2,USB Type-C,40,Var,3.5 mm,3500,Siyah
422,Apple,52998,10,256,6,6,4000 - 5000,5,iPhone 14 Plus,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Mor
423,vivo,3799,5,32,3,4,1500  altı,4,,1,5,2,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,5000,Altın
424,Xiaomi,18999,5,128,8,4,1500  altı,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Gri
425,Samsung,46400,5,256,12,4,1500  altı,4.5,,1,15,1,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,4000,Siyah
426,Hiking,,5,Yok,1,4,1500  altı,4.5,,1,,1,4,Android,Yok,2,USB Type-C,,Yok,3.5 mm,800,Mavi
427,Samsung,35199,5,128,8,4,1500  altı,4.5,Galaxy Z Flip4,1,15,1,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,4000,Mor
428,Reeder,2699,5,32,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Mavi
429,Apple,,48,256,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Gümüş
430,Xiaomi,23459,5,256,8,6,3000 - 4000,5,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Mavi
431,Xiaomi,,20,256,8,6,5000,4.5,,1,15,4,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Çok Renkli
432,INFINIX,2899,5,32,2,4,900-3000,4.5,,1,5,2,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,6000,Turuncu
433,Samsung,11720,5,128,8,4,4000 - 5000,4.5,Galaxy A52,4,60,1,6,Android,Var,2,USB Type-C,60,Var,3.5 mm,4000,Mavi
434,Apple,28898,5,256,4,6,1800 - 2800,5,iPhone SE,1,5,1,4,iOS,Var,2,Lightning,5,Var,Lightning,2000,Kırmızı
435,Reeder,2459,5,64,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Siyah
436,Reeder,,20,128,8,6,4000 - 5000,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Yok,3.5 mm,4500,Siyah
437,INFINIX,4999,20,64,4,6,5000,4.5,,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Siyah
438,Xiaomi,9649,5,128,8,4,1500  altı,4.5,Redmi Note 10 Pro,1,15,4,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Mavi
439,vivo,5299,5,64,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Beyaz
440,realme,8350,5,128,6,4,1500  altı,5,,1,15,1,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,4500,Siyah
441,vivo,3988,5,32,3,4,1500  altı,4,,1,5,2,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,5000,Mavi
442,Apple,39999,5,128,4,5,3000 - 4000,5,iPhone 13 Mini,1,15,2,5,iOS,Var,2,Lightning,15,Var,Lightning,2000,Beyaz
443,Samsung,6199,5,64,4,4,1500  altı,4.5,,1,10,3,6,Android,Yok,2,USB Type-C,10,Var,3.5 mm,4000,Siyah
444,POCO,18849,20,256,256 MB RAM,6,2800,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Mavi
445,Xiaomi,8999,14,128,8,6,1500  altı,4.5,Redmi Note 11S,1,10,4,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,5000,Gri
446,Reeder,2335,5,32,2,4,1500  altı,4,Reeder S19 Max,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Mavi
447,Xiaomi,18999,5,256,12,6,3000 - 4000,5,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Mavi
448,vivo,13999,5,256,8,4,1500  altı,5,,1,40,2,6,Android,Yok,2,USB Type-C,40,Var,USB Type-C,4500,Turkuaz
449,Samsung,10396,5,128,6,4,1500  altı,5,Galaxy A33,1,15,1,7,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Mavi
450,Apple,75699,48,512,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Siyah
451,Casper,10999,20,256,8,6,4000 - 5000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,4500,Gümüş
452,Samsung,37800,12,256,8,6,4000 - 5000,5,Galaxy S23 Plus,1,40,3,6,Android,Var,2,USB Type-C,40,Var,USB Type-C,4500,Mor
453,Xiaomi,37899,20,256,12,6,5000,5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Siyah
454,Xiaomi,4499,15,64,4,4,5000,4.5,,1,5,2,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Siyah
455,INFINIX,5219,5,128,6,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Yeşil
456,General Mobile,5639,10,128,3,6,5000,4.5,Gm22,1,5,3,6,Android,Yok,2,USB Type-C,5,Yok,3.5 mm,4500,Mavi
457,Xiaomi,28949,5,256,12,4,1500  altı,5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,3.5 mm,4500,Mavi
458,Reeder,2499,5,64,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Beyaz
459,Apple,61399,5,128,6,6,3000 - 4000,5,iPhone 13 Pro Max,1,10,3,6,iOS,Yok,2,Lightning,10,Var,Lightning,3500,Yeşil
460,Apple,34899,10,64,4,6,2815,4.5,iPhone 12,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Mavi
461,omix,7589,5,128,16,4,1500  altı,4.5,,1,60,4,6,Android,Yok,2,USB Type-C,60,Yok,USB Type-C,5000,Gri
462,Apple,25500,10,64,3,6,2400 - 3000,4.5,iPhone XR,1,5,1,5,iOS,Var,2,Lightning,5,Var,Lightning,2000,Mavi
463,Samsung,6200,5,64,4,4,1500  altı,4.5,Galaxy A13,1,5,1,7,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Siyah
464,Samsung,6790,20,128,4,7,1500  altı,4.5,Galaxy M13,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Pembe
465,Samsung,17999,5,128,8,4,1500  altı,5,,1,20,4,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,4000,Beyaz
466,TCL,3099,5,32,3,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4000,Yeşil
467,Xiaomi,7299,20,128,8,6,4000 - 5000,5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Siyah
468,Samsung,6950,5,128,4,4,1500  altı,4.5,Galaxy A13,1,5,1,7,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Beyaz
469,realme,24719,5,256,12,4,1500  altı,5,,2,40,2,6,Android,Var,2,USB Type-C,40,Var,USB Type-C,4500,Beyaz
470,Casper,4400,5,128,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Beyaz
471,Xiaomi,5695,5,64,4,4,1500  altı,4,Redmi 10,1,5,4,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Mavi
472,Samsung,6765,5,128,4,4,1500  altı,4.5,Galaxy A13,1,5,1,7,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Mavi
473,omix,4999,20,64,8,6,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Mavi
474,INFINIX,9799,64,128,8,6,5000,4,,1,15,3,6,Android,Var,2,USB Type-C,15,Yok,3.5 mm,5000,Gri
475,Samsung,50679,10,512,8,6,4000 - 5000,5,Galaxy S23 Ultra,1,10,5,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,3500,Bej
476,Samsung,19900,108,128,8,6,5000,5,,1,20,4,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Beyaz
477,Tecno,8699,12,8,32  +,7,5020,4,,1,120,2,4,Android,Yok,2,USB Type-C,120,Var,3.5 mm,2000,Beyaz
478,Oppo,5970,5,64,4,4,1500  altı,4.5,,1,15,3,6,Android,Yok,2,USB Type-C,15,Yok,3.5 mm,4500,Çok Renkli
479,Samsung,5389,20,64,4,6,5000,4.5,Galaxy A04,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Siyah
480,Tecno,5299,5,128,4,4,1500  altı,4.5,,1,20,3,6,Android,Var,2,USB Type-C,20,Yok,3.5 mm,4500,Siyah
481,Samsung,11700,5,128,8,4,4000 - 5000,4.5,Galaxy A52,4,60,1,6,Android,Var,2,USB Type-C,60,Var,3.5 mm,4000,Beyaz
482,Samsung,,10,256,12,6,4000 - 5000,5,,2,10,3,6,Android,Var,2,USB Type-C,10,Var,3.5 mm,4000,Gümüş
483,Samsung,37999,10,128,8,6,4000 - 5000,4.5,Galaxy S22 Ultra,1,15,1,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,4000,Yeşil
484,Apple,22839,5,64,4,6,1800 - 2800,5,iPhone SE,1,5,1,4,iOS,Var,2,Lightning,5,Var,Lightning,2000,Beyaz
485,vivo,9300,50,128,8,6,5020,4,,1,15,3,6,Android,Yok,2,USB Type-C,15,Var,USB Type-C,4500,Altın
486,,1999,5,16,2,4,900-3000,3,,1,5,1,4,Android,Var,2,Micro-USB,5,Yok,3.5 mm,2000,Beyaz
487,Apple,82999,48,1 TB,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Siyah
488,oukitel,3853,5,64,4,4,1500  altı,4,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4000,Çok Renkli
489,INFINIX,5589,20,128,8,6,5000,4.5,Hot 20,1,5,2,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,4500,Mor
490,Xiaomi,25567,20,256,8,6,4000 - 5000,5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,4500,Gri
491,Samsung,28398,5,256,8,4,1500  altı,4.5,,1,10,1,7,Android,Var,2,USB Type-C,10,Var,3.5 mm,4500,Pembe
492,Samsung,30750,5,256,8,4,1500  altı,4.5,,1,10,1,7,Android,Var,2,USB Type-C,10,Var,3.5 mm,4500,Beyaz
493,Xiaomi,7499,5,64,4,4,1500  altı,4.5,Redmi Note 11,1,10,3,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,5000,Gri
494,INFINIX,7339,20,256,8,6,5000,4.5,,1,15,4,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Yeşil
495,Xiaomi,6999,5,128,4,4,900-3000,5,,1,5,2,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,4500,Siyah
496,INFINIX,5589,20,128,8,6,5000,4.5,,1,5,2,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,5000,Beyaz
497,Samsung,14899,5,128,8,6,3000 - 4000,5,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Siyah
498,Samsung,38299,12,256,8,6,4000 - 5000,5,Galaxy S23 Plus,1,40,3,6,Android,Var,2,USB Type-C,40,Var,USB Type-C,4500,Siyah
499,General Mobile,4335,5,64,32 MB RAM,6,1500  altı,4.5,,1,5,2,4,Android,Var,2,USB Type-C,5,Yok,Lightning,5000,Gri
500,Samsung,26979,5,128,8,4,1500  altı,4.5,,1,15,2,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,4000,Siyah
501,Xiaomi,,5,128,8,4,900-3000,4.5,,1,15,4,6,Android,Var,2,USB Type-C,15,Yok,Lightning,5000,Gri
502,Samsung,20990,5,256,8,4,1500  altı,4.5,Galaxy S21,1,15,1,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,4000,Yeşil
503,Samsung,17750,20,128,8,4,1500  altı,4.5,,1,20,1,7,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Siyah
504,Samsung,6774,20,128,4,7,1500  altı,4.5,Galaxy M13,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Yeşil
505,Reeder,4959,5,256,6,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Beyaz
506,Xiaomi,,20,128,8,6,5000,4.5,,1,15,4,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Mor
507,General Mobile,,5,32,3,4,1500  altı,4.5,,1,5,3,6,Android,Yok,2,USB Type-C,5,Yok,3.5 mm,4500,Altın
508,Tecno,9999,5,128,6,6,3000 - 7900,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,6000,Mavi
509,Reeder,7400,15,128,16 MB RAM,6,4000 - 5000,3,,Yok,,Yok,4,Android,Yok,2,USB Type-C,,Yok,3.5 mm,800,Beyaz
510,Apple,62400,5,128,6,6,3000 - 4000,5,iPhone 13 Pro Max,1,10,3,6,iOS,Yok,2,Lightning,10,Var,Lightning,3500,Gümüş
511,Xiaomi,12899,5,128,8,4,1500  altı,4.5,,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Mavi
512,Samsung,9999,5,128,4,4,1500  altı,4.5,,1,15,1,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Siyah
513,Tecno,6600,50,128,8,7,1500  altı,4.5,,1,40,2,6,Android,Var,2,USB Type-C,40,Var,3.5 mm,5000,Mavi
514,Samsung,50900,10,512,8,6,4000 - 5000,5,Galaxy S23 Ultra,1,10,5,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,3500,Yeşil
515,omix,4499,5,64,4,6,4000 - 5000,4.5,,1,5,2,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,4500,Çok Renkli
516,Oppo,14999,5,128,8,4,1500  altı,4.5,,1,20,4,6,Android,Yok,2,USB Type-C,20,Yok,USB Type-C,4000,Siyah
517,INFINIX,8400,5,256,8,4,900-3000,4.5,,1,15,4,6,Android,Var,2,USB Type-C,15,Yok,Lightning,5000,Beyaz
518,vivo,9499,5,256,8,6,3000 - 4000,4,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Lacivert
519,Reeder,2499,5,64,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Yeşil
520,Samsung,11250,20,64,4,6,4000 - 5000,4.5,,1,10,4,6,Android,Var,2,USB Type-C,10,Var,3.5 mm,4500,Mavi
521,Samsung,15699,20,256,8,6,4000 - 5000,5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Çok Renkli
522,Xiaomi,9999,5,128,6,4,900-3000,4.5,Pocophone X3,1,15,4,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Mavi
523,General Mobile,5664,20,128,4,6,5000,4.5,Gm 23 Dual,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Siyah
524,Tecno,6219,14,128,6,6,1500  altı,4.5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Beyaz
525,Samsung,10350,5,128,6,4,1500  altı,5,Galaxy A33,1,15,1,7,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Turuncu
526,Xiaomi,15999,20,256,8,4,1500  altı,5,Xiaomi Mi 12 Lite,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,4000,Yeşil
527,omix,6099,5,128,6,4,1500  altı,4.5,,1,5,4,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Gri
528,Samsung,5969,20,64,4,7,1500  altı,4.5,Galaxy M13,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Yeşil
529,Apple,69899,48,1 TB,6,6,3200,5,iPhone 14 Pro,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Gümüş
530,Xiaomi,,20,128,4,6,5000,4.5,Redmi Note 9,1,10,4,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,5000,Beyaz
531,Xiaomi,19500,20,256,12,6,4000 - 5000,5,,1,10,3,6,Android,Var,2,USB Type-C,10,Var,3.5 mm,4500,Siyah
532,Apple,75989,48,512,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Altın
533,Apple,33290,10,64,4,6,2815,4.5,iPhone 12,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Yeşil
534,Samsung,47600,10,512,8,6,3000 - 7900,5,,1,5,2,6,Android,Var,2,USB Type-C,5,Var,USB Type-C,4500,Gri
535,Oppo,4425,5,64,4,4,1500  altı,4,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Mavi
536,Xiaomi,14489,20,256,8,4,1500  altı,5,Xiaomi Mi 12 Lite,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,4000,Yeşil
537,General Mobile,4192,5,64,4,6,3000 - 4000,4,GM 22s,1,5,1,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,4500,Siyah
538,Xiaomi,,20,256,8,6,5000,4.5,,1,15,4,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Çok Renkli
539,Samsung,7000,5,64,4,4,1500  altı,4.5,,1,5,2,6,Android,Yok,2,USB Type-C,5,Yok,3.5 mm,5000,Mavi
540,Xiaomi,27999,5,256,12,4,1500  altı,4,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Mavi
541,Xiaomi,4497,20,64,3,6,5000,4.5,,1,5,2,6,Android,Var,2,Micro-USB,5,Yok,Lightning,4500,Gri
542,Casper,4649,20,128,4,6,5000,4,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Gri
