,marka,fiyat,kamera çözünürlük,Dahili hafıza,Ram,ekran boyutu,pil gücü,mobil bağlantı hızı,model,ön kamera sayısı,on kamera cozunurluk araligi,arka kamera sayisi,ekran boyutu aralığı,işletim sistemi,çift hat,garanti süresi,şarj girişi,ana kamera çözünürlük,nfc,kulaklık girişi,batarya,renk
228,Samsung,23750,50,128,8,6,3700,4.5,Galaxy S22,1,10,1,6,Android,Var,2,USB Type-C,10,Var,3.5 mm,3500,Yeşil
229,Apple,62344,5,256,6,6,3000 - 4000,5,iPhone 13 Pro Max,1,10,3,6,iOS,Yok,2,Lightning,10,Var,Lightning,3500,Gümüş
230,Oppo,10499,5,128,8,4,1500  altı,4.5,OPPO Reno6,1,40,3,6,Android,Yok,2,USB Type-C,40,Var,3.5 mm,4000,Gri
231,INFINIX,7999,5,128,8,4,900-3000,4.5,,2,40,4,6,Android,Var,2,USB Type-C,40,Yok,3.5 mm,4500,Gümüş
232,Samsung,15499,20,256,8,6,4000 - 5000,4.5,Galaxy S20,1,20,1,7,Android,Var,2,USB Type-C,20,Var,USB Type-C,4500,Mor
233,Samsung,16999,20,128,6,6,4000 - 5000,4.5,Galaxy A51,1,20,4,6,Android,Var,2,USB Type-C,20,Var,3.5 mm,3500,Beyaz
234,Xiaomi,21785,5,256,8,4,1500  altı,5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Çok Renkli
235,Reeder,2189,5,32,2,4,1500  altı,4.5,P13 Blue Max Lite,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Mavi
236,Reeder,3243,5,128,2,4,1500  altı,4,Reeder S19 Max,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Beyaz
237,Apple,67999,48,256,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Gümüş
238,Samsung,,10,128,8,6,3000 - 4000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,3500,Mor
239,Samsung,8849,15,128,6,6,4000 - 5000,4.5,Galaxy A24,1,10,3,6,Android,Var,2,USB Type-C,10,Var,3.5 mm,4500,Siyah
240,Apple,47349,10,128,6,6,4000 - 5000,5,iPhone 14 Plus,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Siyah
241,Hiking,3995,5,128,4,4,1500  altı,5,,1,5,3,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,4500,Altın
242,omix,8700,5,256,16,4,1500  altı,4.5,,1,5,4,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,5000,Gri
243,Samsung,33549,10,256,12,6,4000 - 5000,5,,2,10,3,6,Android,Var,2,USB Type-C,10,Var,3.5 mm,4000,Siyah
244,Samsung,7206,20,128,4,6,4000 - 5000,4.5,Galaxy A14,1,10,3,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,4500,Gümüş
245,vivo,10499,50,256,8,6,5020,4,,1,15,3,6,Android,Yok,2,USB Type-C,15,Var,USB Type-C,4500,Gri
246,Samsung,14979,20,256,8,6,4000 - 5000,4.5,Galaxy S20,1,20,1,7,Android,Var,2,USB Type-C,20,Var,USB Type-C,4500,Beyaz
247,Xiaomi,10804,5,128,6,6,1500  altı,4.5,Redmi Note 11 Pro,1,15,4,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,4500,Gri
